# Parameters
$ K = 2
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
1.5750000000000000e-01	8.4250000000000003e-01	1.5750000000000000e-01	-7.0658027038879434e-01	-9.7268577988985194e-01	-5.1136055139883496e-01	-7.6706121126040638e-01	-8.7380266995806921e-01	-8.2004146767504538e-01	-6.9495089577568969e-01	-4.3273400385870014e-01	-1.8753479283257060e-01	2.6147724340109093e+00
1.6000000000000000e-01	8.3999999999999997e-01	1.6000000000000000e-01	-7.1090334985317216e-01	-9.7389242513353669e-01	-5.1418989485746336e-01	-7.7067631471778808e-01	-8.7720338615135085e-01	-8.2045659047866948e-01	-6.9769073649915425e-01	-4.3448302124853566e-01	-1.8485284956406281e-01	2.6102259454597556e+00
1.6250000000000001e-01	8.3750000000000002e-01	1.6250000000000001e-01	-7.1512889119170642e-01	-9.7496746943221935e-01	-5.1701591446549633e-01	-7.7427911130801375e-01	-8.8058046779828159e-01	-8.2081454023598110e-01	-7.0042847044970069e-01	-4.3623911942126564e-01	-1.8215785525747538e-01	2.6057332793166950e+00
1.6500000000000001e-01	8.3499999999999996e-01	1.6500000000000001e-01	-7.1925426795395897e-01	-9.7590984009395976e-01	-5.1983791345693720e-01	-7.7786850008874842e-01	-8.8393308985979191e-01	-8.2111504277914249e-01	-7.0316385631379963e-01	-4.3800215176741591e-01	-1.7945062816968005e-01	2.6012946367022276e+00
1.6750000000000001e-01	8.3250000000000002e-01	1.6750000000000001e-01	-7.2327692556585221e-01	-9.7671856845825744e-01	-5.2265519052605858e-01	-7.8144336645926094e-01	-8.8726042351261314e-01	-8.2135784514847066e-01	-7.0589665060676876e-01	-4.3977196313018668e-01	-1.7673199459579056e-01	2.5969102170313501e+00
1.7000000000000001e-01	8.2999999999999996e-01	1.7000000000000001e-01	-7.2719438574044848e-01	-9.7739279215210295e-01	-5.2546704052573212e-01	-7.8500258304947101e-01	-8.9056163651959686e-01	-8.2154271590769978e-01	-7.0862660765821683e-01	-4.4154838971457872e-01	-1.7400278824624607e-01	2.5925802179851019e+00
1.7249999999999999e-01	8.2750000000000001e-01	1.7249999999999999e-01	-7.3100425076378184e-01	-9.7793175714307645e-01	-5.2827275517233618e-01	-7.8854501064384941e-01	-8.9383589361322191e-01	-8.2166944544185327e-01	-7.1135347959501671e-01	-4.4333125900381631e-01	-1.7126384961265934e-01	2.5883048354824703e+00
1.7499999999999999e-01	8.2499999999999996e-01	1.7499999999999999e-01	-7.3470420764128352e-01	-9.7833481958094681e-01	-5.3107162375506167e-01	-7.9206949913843505e-01	-8.9708235689238602e-01	-8.2173784623723611e-01	-7.1407701632182685e-01	-4.4512038968327927e-01	-1.6851602532330132e-01	2.5840842636526604e+00
1.7749999999999999e-01	8.2250000000000001e-01	1.7749999999999999e-01	-7.3829203209074823e-01	-9.7860144741996014e-01	-5.3386293384741024e-01	-7.9557488852907821e-01	-9.0030018623252805e-01	-8.2174775314305559e-01	-7.1679696549915628e-01	-4.4691559157216260e-01	-1.6576016748911129e-01	2.5799186948077240e+00
1.7999999999999999e-01	8.2000000000000006e-01	1.7999999999999999e-01	-7.4176559236826212e-01	-9.7873122181478944e-01	-5.3664597201864261e-01	-7.9906000992892545e-01	-9.0348853970909071e-01	-8.2169902361422353e-01	-7.1951307251902030e-01	-4.4871666556306139e-01	-1.6299713304115027e-01	2.5758083194155468e+00
1.8250000000000000e-01	8.1750000000000000e-01	1.8250000000000000e-01	-7.4512285291406122e-01	-9.7872383828396525e-01	-5.3942002454294702e-01	-8.0252368661303297e-01	-9.0664657403433335e-01	-8.2159153793492323e-01	-7.2222508047823197e-01	-4.5052340356966414e-01	-1.6022778306043461e-01	2.5717533260731877e+00
1.8500000000000000e-01	8.1499999999999995e-01	1.8500000000000000e-01	-7.4836187780591734e-01	-9.7857910763548295e-01	-5.4218437810410280e-01	-8.0596473508791855e-01	-9.0977344500740487e-01	-8.2142519942253844e-01	-7.2493273014936987e-01	-4.5233558848274269e-01	-1.5745298210110084e-01	2.5677539014805735e+00
1.8750000000000000e-01	8.1250000000000000e-01	1.8750000000000000e-01	-7.5148083400834453e-01	-9.7829695665019334e-01	-5.4493832049340662e-01	-8.0938196618374814e-01	-9.1286830797760188e-01	-8.2119993461159213e-01	-7.2763575994952157e-01	-4.5415299413460641e-01	-1.5467359750787577e-01	2.5638102304145258e+00
1.9000000000000000e-01	8.1000000000000005e-01	1.9000000000000000e-01	-7.5447799440667496e-01	-9.7787742851954251e-01	-5.4768114129869327e-01	-8.1277418616678754e-01	-9.1593031832066474e-01	-8.2091569341734838e-01	-7.3033390590687353e-01	-4.5597538527217130e-01	-1.5189049872883614e-01	2.5599224957031361e+00
1.9250000000000000e-01	8.0750000000000000e-01	1.9250000000000000e-01	-7.5735174061588661e-01	-9.7732068303518527e-01	-5.5041213258231270e-01	-8.1614019786967973e-01	-9.1895863192790839e-01	-8.2057244927878192e-01	-7.3302690162526252e-01	-4.5780251753879725e-01	-1.4910455662445468e-01	2.5560908782004605e+00
1.9500000000000001e-01	8.0499999999999994e-01	1.9500000000000001e-01	-7.6010056555493721e-01	-9.7662699652900220e-01	-5.5313058954597061e-01	-8.1947880183705024e-01	-9.2195240570797099e-01	-8.2017019928063528e-01	-7.3571447824679370e-01	-4.5963413746503323e-01	-1.4631664277393830e-01	2.5523155567615401e+00
1.9750000000000001e-01	8.0249999999999999e-01	1.9750000000000001e-01	-7.6272307577829324e-01	-9.7579676156303630e-01	-5.5583581118043468e-01	-8.2278879748389622e-01	-9.2491079810088084e-01	-8.1970896425432505e-01	-7.3839636441267442e-01	-4.6146998246837734e-01	-1.4352762877987554e-01	2.5485967082177274e+00
2.0000000000000001e-01	8.0000000000000004e-01	2.0000000000000001e-01	-7.6521799355733677e-01	-9.7483048636989977e-01	-5.5852710089816371e-01	-8.2606898426418129e-01	-9.2783296960410289e-01	-8.1918878885746937e-01	-7.4107228622239740e-01	-4.6330978086218422e-01	-1.4073838557220975e-01	2.5449345073523109e+00
2.0250000000000001e-01	7.9749999999999999e-01	2.0250000000000001e-01	-7.6758415870531638e-01	-9.7372879404518309e-01	-5.6120376714702469e-01	-8.2931816284704407e-01	-9.3071808331017947e-01	-8.1860974163186673e-01	-7.4374196719143937e-01	-4.6515325187380857e-01	-1.3794978271256469e-01	2.5413291268764344e+00
2.0499999999999999e-01	7.9500000000000004e-01	2.0499999999999999e-01	-7.6982053014059737e-01	-9.7249242149442761e-01	-5.6386512400336908e-01	-8.3253513629800691e-01	-9.3356530545551153e-01	-8.1797191503975941e-01	-7.4640512820764560e-01	-4.6700010567207362e-01	-1.3516268769993989e-01	2.5377807374052814e+00
