# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
1.2750000000000000e-01	8.7250000000000005e-01	1.2750000000000000e-01	-6.9297525221427081e-01	-5.6944230338681345e-01	-2.7613058697092807e-01	-4.9836826423053460e-01	-4.4151662505523648e-01	-2.8593789097210476e-01	-4.8803880519212439e-01	1.4003384889962722e-01	-4.1448967439460518e-03	-5.4705786526549649e-01	3.5766083105652341e-01	-1.1113279059880428e+00	2.2123081174201262e+00
1.3000000000000000e-01	8.7000000000000000e-01	1.3000000000000000e-01	-6.9317201872825340e-01	-5.6780374544274625e-01	-2.7055590425253656e-01	-5.0026963430249316e-01	-4.4109482591368337e-01	-2.7622148294743037e-01	-4.9051554959492216e-01	1.4613193311251840e-01	-1.2929111442442707e-03	-5.4988936950466560e-01	3.6839346971461362e-01	-1.1154104629111044e+00	2.2106957598906587e+00
1.3250000000000001e-01	8.6749999999999994e-01	1.3250000000000001e-01	-6.9335102062875309e-01	-5.6622724668798796e-01	-2.6492818299794774e-01	-5.0221623892857803e-01	-4.4073438675397481e-01	-2.6644370972368625e-01	-4.9312782067934746e-01	1.5226693223855817e-01	1.5886146752293775e-03	-5.5279885559582376e-01	3.7913085712419259e-01	-1.1194504636319851e+00	2.2092366573092255e+00
1.3500000000000001e-01	8.6499999999999999e-01	1.3500000000000001e-01	-6.9351163525785919e-01	-5.6471356460649447e-01	-2.5924730022623010e-01	-5.0420753256012873e-01	-4.4043591475125410e-01	-2.5660615211145704e-01	-4.9587180264825209e-01	1.5843768975903355e-01	4.5001974069427339e-03	-5.5578568609137557e-01	3.8986844901171086e-01	-1.1234445065610010e+00	2.2079340839528543e+00
1.3750000000000001e-01	8.6250000000000004e-01	1.3750000000000001e-01	-6.9365324578187981e-01	-5.6326336058019888e-01	-2.5351324843993489e-01	-5.0624287510927812e-01	-4.4019994568106202e-01	-2.4671059009711432e-01	-4.9874335119157032e-01	1.6464293546283948e-01	7.4423293855858308e-03	-5.5884909752278689e-01	4.0060146261159635e-01	-1.1273890907523374e+00	2.2067913383646776e+00
1.4000000000000001e-01	8.5999999999999999e-01	1.4000000000000001e-01	-6.9377524348824737e-01	-5.6187719367190525e-01	-2.4772614280069818e-01	-5.0832152735523328e-01	-4.4002693891033606e-01	-2.3675901129519564e-01	-5.0173799006724951e-01	1.7088128120926291e-01	1.0415475600042488e-02	-5.6198819488669394e-01	4.1132487443768390e-01	-1.1312806168428862e+00	2.2058117399665358e+00
1.4249999999999999e-01	8.5750000000000004e-01	1.4249999999999999e-01	-6.9387703017289026e-01	-5.6055551440576767e-01	-2.4188622817834052e-01	-5.1044264639856884e-01	-4.3991727234072742e-01	-2.2675361893008170e-01	-5.0485090869580795e-01	1.7715121684683363e-01	1.3420070603585790e-02	-5.6520194622417019e-01	4.2203341892806551e-01	-1.1351153884241070e+00	2.2049986254077139e+00
1.4499999999999999e-01	8.5499999999999998e-01	1.4499999999999999e-01	-6.9395802061025336e-01	-5.5929865858652628e-01	-2.3599388602380153e-01	-5.1260528119627735e-01	-4.3987123733263611e-01	-2.1669683926740965e-01	-5.0807696086502074e-01	1.8345110632390632e-01	1.6456515331338257e-02	-5.6848917733399462e-01	4.3272158804069827e-01	-1.1388896138812108e+00	2.2043553446457178e+00
1.4749999999999999e-01	8.5250000000000004e-01	1.4749999999999999e-01	-6.9401764509684405e-01	-5.5810684120198684e-01	-2.3004964101323125e-01	-5.1480836821283560e-01	-4.3988903364097037e-01	-2.0659132841309577e-01	-5.1141066464106333e-01	1.8977918402865709e-01	1.9525173835631605e-02	-5.7184856666338135e-01	4.4338363187690649e-01	-1.1425994087337286e+00	2.2038852567562750e+00
1.4999999999999999e-01	8.4999999999999998e-01	1.4999999999999999e-01	-6.9405535205766378e-01	-5.5698015045632443e-01	-2.2405416740779166e-01	-5.1705072722496837e-01	-4.3997076439617927e-01	-1.9643997839584854e-01	-5.1484620358124122e-01	1.9613355139803962e-01	2.2626369951543740e-02	-5.7527864042215759e-01	4.5401356040901863e-01	-1.1462407985108554e+00	2.2035917254709698e+00
