# Parameters
$ K = 5
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
1.1500000000000000e-01	8.8500000000000001e-01	1.1500000000000000e-01	-1.1742031209474888e+00	-8.8097167302706436e-01	-1.1443638457717351e+00	-1.6619520644088779e+00	-1.3553221129092430e+00	-8.0333803034121687e-01	-9.6928416133455197e-01	-1.3548601831741076e+00	-7.7779995223726384e-01	1.8611499483214089e+00
1.1749999999999999e-01	8.8250000000000006e-01	1.1749999999999999e-01	-1.1871134994883934e+00	-8.9688620578967682e-01	-1.1536063920477899e+00	-1.6724232093172762e+00	-1.3706192650950166e+00	-8.1795264387324385e-01	-9.8886879418424489e-01	-1.3705691985950785e+00	-7.9155064405638720e-01	1.8566165814338584e+00
1.2000000000000000e-01	8.8000000000000000e-01	1.2000000000000000e-01	-1.1999998502079285e+00	-9.1291985430634792e-01	-1.1628824983793200e+00	-1.6826687110224501e+00	-1.3858750138313538e+00	-8.3269587383385402e-01	-1.0084845917399872e+00	-1.3862361706928414e+00	-8.0543453077146332e-01	1.8520703842110484e+00
1.2250000000000000e-01	8.7749999999999995e-01	1.2250000000000000e-01	-1.2128512412849928e+00	-9.2906315189574729e-01	-1.1721869195383210e+00	-1.6926730029771604e+00	-1.4010733660205550e+00	-8.4756108104777461e-01	-1.0281132415954111e+00	-1.4018416057338032e+00	-8.1944388618891384e-01	1.8475099822683025e+00
1.2500000000000000e-01	8.7500000000000000e-01	1.2500000000000000e-01	-1.2256563353569443e+00	-9.4530599143498295e-01	-1.1815140605854551e+00	-1.7024202724058826e+00	-1.4161976826714349e+00	-8.6254109176696403e-01	-1.0477355849280841e+00	-1.4173651958858366e+00	-8.3357036339108403e-01	1.8429339940867431e+00
1.2750000000000000e-01	8.7250000000000005e-01	1.2750000000000000e-01	-1.2384033998254709e+00	-9.6163761789876134e-01	-1.1908579693018577e+00	-1.7118944954259079e+00	-1.4312306951542564e+00	-8.7762818454142533e-01	-1.0673316340874912e+00	-1.4327858454168121e+00	-8.4780498582062680e-01	1.8383410323986069e+00
1.3000000000000000e-01	8.7000000000000000e-01	1.3000000000000000e-01	-1.2510803195662161e+00	-9.7804662335788173e-01	-1.2002123296498999e+00	-1.7210794755383996e+00	-1.4461545256927388e+00	-8.9281407859093653e-01	-1.0868805957990053e+00	-1.4480817030063200e+00	-8.6213814095797026e-01	1.8337297056773092e+00
1.3250000000000001e-01	8.6749999999999994e-01	1.3250000000000001e-01	-1.2636746121462468e+00	-9.9452094467041618e-01	-1.2095704563996164e+00	-1.7299588854942523e+00	-1.4609507122931966e+00	-9.0808992388348464e-01	-1.1063609002641970e+00	-1.4632302004190347e+00	-8.7655957684389596e-01	1.8290986197341428e+00
1.3500000000000001e-01	8.6499999999999999e-01	1.3500000000000001e-01	-1.2761734456409739e+00	-1.0110478640964091e+00	-1.2189252910610762e+00	-1.7385163125088217e+00	-1.4756002382875453e+00	-9.2344629313077531e-01	-1.1257502364039647e+00	-1.4782080977463705e+00	-8.9105840169406680e-01	1.8244463794229886e+00
1.3750000000000001e-01	8.6250000000000004e-01	1.3750000000000001e-01	-1.2885636591274707e+00	-1.0276140130616960e+00	-1.2282693992653106e+00	-1.7467353067658771e+00	-1.4900835666392154e+00	-9.3887317591402175e-01	-1.1450255934505513e+00	-1.4929915353740988e+00	-9.0562308684352077e-01	1.8197715904539065e+00
1.4000000000000001e-01	8.5999999999999999e-01	1.4000000000000001e-01	-1.3008317859139940e+00	-1.0442053792879704e+00	-1.2375949697374273e+00	-1.7545994331148449e+00	-1.5043806791286201e+00	-9.5435997515367810e-01	-1.1641633090472079e+00	-1.5075560927778000e+00	-9.2024147324636763e-01	1.8150728613158693e+00
