Hamiltonian	driving	N	seed	duration	K=0	K=1	K=2	K=3	K=4	K=5
ferromagnetic	onebody	9	43	0.1	0.002045344623425416	0.3096723652561024	0.7024537870132191	0.8590363386667158	0.9280373790903457	0.9621222070433342
ferromagnetic	onebody	9	43	0.05	0.001975909755774238	0.3096159706136118	0.7030995067456608	0.8595458850963803	0.928398171337683	0.9624043158703887
ferromagnetic	onebody	9	43	0.02	0.0019566930521680245	0.309596059319597	0.7032834073859544	0.8596915896779047	0.9285018499599792	0.962483882432151
ferromagnetic	onebody	9	43	0.01	0.00195395881244988	0.3095938313679342	0.7033097864914775	0.8597124845348597	0.9285167239191147	0.9624952846308226
ferromagnetic	onebody	9	44	0.1	0.0020820960530899867	0.157141828567871	0.4742479614349542	0.6930884158686615	0.8220749676166921	0.8978009076463598
ferromagnetic	onebody	9	44	0.05	0.0019848703479005978	0.15624318713534274	0.47444588478696126	0.6936515529178369	0.8225877754082096	0.898216417969263
ferromagnetic	onebody	9	44	0.02	0.0019580402284123987	0.15599046112591666	0.4745031181391976	0.6938211232236617	0.8227336019888857	0.8983360278836403
ferromagnetic	onebody	9	44	0.01	0.0019542217710974827	0.15595430118265924	0.4745112772201832	0.6938448025670435	0.8227545673169975	0.8983529655216264
ferromagnetic	onebody	9	45	0.1	0.002065475336480329	0.17707943681212743	0.5177402499718179	0.7235498480145099	0.8422624941112032	0.9113487146107327
ferromagnetic	onebody	9	45	0.05	0.0019813071235256067	0.17645324745353566	0.5178011996347595	0.7238660032575305	0.8426254658283979	0.9116908568759862
ferromagnetic	onebody	9	45	0.02	0.0019580472914302	0.1762808967631035	0.5178195410073777	0.7239582653017679	0.8427281729425857	0.9117862058399511
ferromagnetic	onebody	9	45	0.01	0.001954734055007569	0.17625717719001704	0.5178222333717908	0.7239715061580112	0.842742885462428	0.9117998465378829
ferromagnetic	onebody	9	46	0.1	0.002049305540029051	0.12305987115092264	0.41128421558729006	0.6448919991745966	0.7884233537600885	0.8748831276801425
ferromagnetic	onebody	9	46	0.05	0.0019770642816688178	0.12236693252644028	0.41122400602111653	0.6452547511155619	0.7888417343736893	0.8752563925243937
